"LOCALITY";"STRAT";"DMIN";"DMAX";"AREA";"DEPTH";"NAME"
"Stratum.U40";"U40";0;110;578;110;"5Y "
"Stratum.U41";"U41";0;183;1478;183;"4X "
"Stratum.U42";"U42";0;110;161;110;"4X "
"Stratum.U43";"U43";0;183;920;183;"4X "
"Stratum.U44";"U44";0;366;1004;366;"4X "
"Stratum.U45";"U45";0;110;156;110;"4X "
"Stratum.U46";"U46";0;110;265;110;"4X "
"Stratum.U47";"U47";0;183;1232;183;"4X "
"Stratum.U48";"U48";0;183;1249;183;"4X "
"Stratum.U49";"U49";0;183;233;183;"4X "
"Stratum.C16";"C16";0;110;1574;110;"5Z "
"Stratum.C17";"C17";0;183;284;183;"5Z "
"Stratum.C18";"C18";0;366;125;366;"5Z "
"Stratum.C21";"C21";0;110;206;110;"5Z "
"Stratum.C22";"C22";0;183;122;183;"5Z "
"Stratum.A16";"A16";0;110;1406;110;"5Z "
"Stratum.A17";"A17";0;183;76;183;"5Z "
"Stratum.A18";"A18";0;366;47;366;"5Z "
"Stratum.A21";"A21";0;110;218;110;"5Z "
"Stratum.A22";"A22";0;183;332;183;"5Z "
"Stratum.U29";"U29";0;366;3245;366;"5Z "
"Stratum.01130";1130;0;110;2374;110;"5Z "
"Stratum.01140";1140;0;183;656;183;"5Z "
"Stratum.01150";1150;0;366;230;366;"5Z "
"Stratum.01160";1160;0;110;2980;110;"5Z "
"Stratum.01170";1170;0;183;360;183;"5Z "
"Stratum.01180";1180;0;366;172;366;"5Z "
"Stratum.01190";1190;0;55;2454;55;"5Z "
"Stratum.01200";1200;0;55;1221;55;"5Z "
"Stratum.01210";1210;0;110;424;110;"5Z "
"Stratum.301";301;50;100;264;75;"3Pn "
"Stratum.302";302;50;100;964;75;"3Pn "
"Stratum.303";303;100;150;1701;125;"3Pn "
"Stratum.304";304;150;200;484;175;"3Pn "
"Stratum.305";305;200;;2446;;"3Pn "
"Stratum.401";401;100;150;545;125;"4T "
"Stratum.402";402;100;150;909;125;"4T "
"Stratum.403";403;100;150;1190;125;"4T "
"Stratum.404";404;150;200;792;175;"4T "
"Stratum.405";405;150;200;1478;175;"4T "
"Stratum.406";406;150;200;2579;175;"4T "
"Stratum.407";407;200;;2335;;"4T "
"Stratum.408";408;200;;2734;;"4T "
"Stratum.409";409;100;150;909;125;"4T "
"Stratum.410";410;150;200;1817;175;"4T "
"Stratum.411";411;150;200;1858;175;"4T "
"Stratum.412";412;100;150;1284;125;"4T "
"Stratum.413";413;150;200;732;175;"4T "
"Stratum.414";414;100;150;389;125;"4T "
"Stratum.415";415;200;;10000;;"4Vn "
"Stratum.416";416;150;200;2303;175;"4Vn "
"Stratum.417";417;100;150;1329;125;"4Vn "
"Stratum.801";801;150;200;1214;175;"4R "
"Stratum.802";802;200;;1369;;"4R "
"Stratum.803";803;200;;6976;;"4S "
"Stratum.804";804;200;;2490;;"4S "
"Stratum.805";805;150;200;5762;175;"4S "
"Stratum.806";806;150;200;2126;175;"4S "
"Stratum.807";807;150;200;2370;175;"4S "
"Stratum.808";808;150;200;2428;175;"4S "
"Stratum.809";809;150;200;1547;175;"4R "
"Stratum.810";810;150;200;764;175;"4R "
"Stratum.811";811;100;150;1505;125;"4R "
"Stratum.812";812;100;150;4648;125;"4R "
"Stratum.813";813;100;150;3958;125;"4R "
"Stratum.814";814;100;150;1029;125;"4S "
"Stratum.815";815;100;150;4407;125;"4S "
"Stratum.816";816;100;150;5032;125;"4S "
"Stratum.817";817;100;150;3646;125;"4S "
"Stratum.818";818;100;150;2774;125;"4S "
"Stratum.819";819;100;150;1441;125;"4S "
"Stratum.820";820;50;100;1358;75;"4R "
"Stratum.821";821;50;100;1272;75;"4R "
"Stratum.822";822;50;100;3244;75;"4R "
"Stratum.823";823;50;100;556;75;"4R "
"Stratum.824";824;50;100;836;75;"4R "
"Stratum.825";825;50;100;3965;75;"4S "
"Stratum.826";826;50;100;3094;75;"4S "
"Stratum.827";827;50;100;3231;75;"4S "
"Stratum.828";828;50;100;2435;75;"4S "
"Stratum.829";829;50;100;2692;75;"4S "
"Stratum.830";830;50;100;1917;75;"4S "
"Stratum.831";831;50;100;1204;75;"4S "
"Stratum.832";832;50;100;3962;75;"4S "
"Stratum.833";833;;50;559;;"4S "
"Stratum.834";834;;50;192;;"4S "
"Stratum.835";835;;50;2640;;"4R "
"Stratum.836";836;;50;3147;;"4R "
"Stratum.837";837;;50;2668;;"4R "
"Stratum.838";838;;50;3380;;"4R "
"Stratum.839";839;;50;4392;;"4S "
"Stratum.840";840;50;100;766;75;"4R "
"Stratum.841";841;;50;815;;"4S "
" ";;;;;;
